,Drug,MAE,MEDAE,MSE,RMSE,MAPE,MDAPE,sum
249,Foretinib,0.949784266,0.821015028,1.453246634,1.205506796,380.393959,73.47996177,458.3034735
182,Romidepsin,0.778457636,0.658759603,1.123053265,1.059742075,451.2856675,11.87061924,466.7762993
264,PBD-288,1.198255867,1.091296426,2.364732078,1.537768538,368.4615593,94.1994455,468.8530577
60,BI-2536,1.742722909,1.384279709,4.860728814,2.204706061,376.0230663,89.95407731,476.1695812
105,Pevonedistat,1.631241898,1.381249686,4.345289536,2.084535808,418.5735886,96.82964359,524.8455492
51,Obatoclax Mesylate,0.931632354,0.778351557,1.354671541,1.163903579,538.8066643,102.1895222,645.2247455
76,Gemcitabine,2.416933659,2.068337024,9.218635638,3.036220617,645.3143204,91.6216567,753.676104
35,Wee1 Inhibitor,1.084657355,0.82070717,2.008684321,1.417280608,857.6729666,46.75791736,909.7622134
18,AZD7762,1.0488979,0.864226642,1.781119681,1.334585959,1095.902993,89.19925342,1190.131076
28,Staurosporine,1.137219092,0.980893164,2.025448799,1.42318263,1407.275003,33.07566986,1445.917416
265,POMHEX,0.863373345,0.729047116,1.162082757,1.077999423,1432.294508,60.7832384,1496.910249
45,Pictilisib,1.138790176,0.936692714,2.022247505,1.42205749,1567.348838,72.17219932,1645.040825
135,I-BET-762,1.103218184,0.898234313,2.016930575,1.42018681,34866.02992,27.55869478,34899.02718
178,Bleomycin,1.141506077,0.906768621,2.261996937,1.503993663,49346.3954,32.84343225,49385.0531
